,show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in
798,s1387,Movie,So My Grandma’s a Lesbian!,Ángeles Reiné,Portugal,1/22/2021,2020,TV-MA,95 min,"Comedies, International Movies, LGBTQ Movies"
799,s1388,Movie,The Next Three Days,Paul Haggis,United States,1/22/2021,2010,PG-13,133 min,"Dramas, Thrillers"
800,s1389,Movie,The White Tiger,Ramin Bahrani,India,1/22/2021,2021,R,127 min,Dramas
801,s1390,Movie,Friendsgiving,Nicol Paone,United States,1/21/2021,2020,R,95 min,Comedies
802,s1391,Movie,The Shadow of Violence,Nick Rowland,United Kingdom,1/21/2021,2020,R,101 min,Dramas
803,s1392,Movie,Cut Throat City,RZA,United States,1/20/2021,2020,R,123 min,Dramas
804,s1394,Movie,Sightless,Cooper Karl,United States,1/20/2021,2020,TV-14,89 min,Thrillers
805,s1397,Movie,Homefront,Gary Fleder,United States,1/18/2021,2013,R,100 min,Action & Adventure
806,s1398,Movie,A Monster Calls,J.A. Bayona,United Kingdom,1/16/2021,2016,PG-13,108 min,"Dramas, Sci-Fi & Fantasy"
807,s1399,Movie,Death of Me,Darren Lynn Bousman,United States,1/16/2021,2020,R,94 min,Horror Movies
808,s1400,Movie,Radium Girls,"Lydia Dean Pilcher, Ginny Mohler",United States,1/16/2021,2018,TV-14,103 min,"Dramas, Independent Movies"
809,s1404,Movie,Double Dad,Cris D'Amato,Brazil,1/15/2021,2020,TV-G,105 min,"Children & Family Movies, Comedies, Dramas"
810,s1406,Movie,Outside the Wire,Mikael Håfström,Hungary,1/15/2021,2021,R,116 min,Action & Adventure
811,s1407,Movie,Penguins of Madagascar: The Movie,"Eric Darnell, Simon J. Smith",United States,1/15/2021,2014,PG,92 min,"Children & Family Movies, Comedies"
812,s1408,Movie,Pinkfong & Baby Shark's Space Adventure,Byeon Hee-sun,United States,1/15/2021,2019,TV-Y,65 min,Children & Family Movies
813,s1410,Movie,The Vanished,Peter Facinelli,United States,1/15/2021,2020,R,115 min,Thrillers
814,s1411,Movie,Tribhanga - Tedhi Medhi Crazy,Renuka Shahane,India,1/15/2021,2021,TV-MA,96 min,"Dramas, International Movies"
815,s1412,Movie,What Would Sophia Loren Do?,Ross Kauffman,United States,1/15/2021,2021,TV-14,32 min,Documentaries
816,s1413,Movie,Wish You,Sung Do-jun,South Korea,1/15/2021,2021,TV-PG,102 min,"Dramas, International Movies, LGBTQ Movies"
817,s1414,Movie,Tanda Tanya,Hanung Bramantyo,Indonesia,1/14/2021,2011,TV-MA,102 min,"Dramas, International Movies"
818,s1415,Movie,The Heartbreak Club,"Charles Gozali, Bagus Bramanti",Indonesia,1/14/2021,2020,TV-14,101 min,"Comedies, Dramas, International Movies"
819,s1416,Movie,An Imperfect Murder,James Toback,United States,1/13/2021,2017,R,71 min,"Dramas, Thrillers"
820,s1417,TV Show,Night Stalker: The Hunt for a Serial Killer,Tiller Russell,United States,1/13/2021,2021,TV-MA,1 Season,"Crime TV Shows, Docuseries"
821,s1418,Movie,Al acecho,Francisco D'Eufemia,Argentina,01-12-2021,2019,TV-MA,81 min,"International Movies, Thrillers"
822,s1420,TV Show,Last Tango in Halifax,Juliet May,United Kingdom,01-12-2021,2020,TV-MA,4 Seasons,"British TV Shows, Romantic TV Shows, TV Dramas"
823,s1421,Movie,"Crack: Cocaine, Corruption & Conspiracy",Stanley Nelson,United States,01-11-2021,2021,TV-MA,90 min,Documentaries
824,s1422,Movie,The Intouchables,"Olivier Nakache, Éric Toledano",France,01-11-2021,2011,R,112 min,"Comedies, Dramas, International Movies"
827,s1425,Movie,Charming,Ross Venokur,Canada,01-08-2021,2021,TV-Y7,85 min,"Children & Family Movies, Comedies"
829,s1429,Movie,Is Love Enough? Sir,Rohena Gera,India,01-08-2021,2018,TV-MA,99 min,"Dramas, Independent Movies, International Movies"
830,s1433,TV Show,The Idhun Chronicles,Maite Ruiz De Austri,Spain,01-08-2021,2021,TV-14,2 Seasons,"Anime Series, International TV Shows, Spanish-Language TV Shows"
831,s1434,Movie,100% Halal,Jastis Arimba,Indonesia,01-07-2021,2020,TV-14,101 min,"Dramas, International Movies"
832,s1435,Movie,Leap!,"Eric Summer, Éric Warin",France,01-07-2021,2016,PG,89 min,"Children & Family Movies, Comedies"
833,s1436,Movie,Pieces of a Woman,Kornél Mundruczó,Canada,01-07-2021,2020,R,128 min,Dramas
834,s1439,Movie,Tony Parker: The Final Shot,Florent Bodin,France,01-06-2021,2020,TV-14,99 min,"Documentaries, International Movies, Sports Movies"
836,s1445,Movie,Playing for Keeps,Gabriele Muccino,United States,01-03-2021,2012,PG-13,106 min,"Comedies, Romantic Movies, Sports Movies"
837,s1446,Movie,Asphalt Burning,Hallvard Bræin,Norway,01-02-2021,2020,TV-14,101 min,"Action & Adventure, Comedies, International Movies"
838,s1447,Movie,Bad Grandpa .5,Jeff Tremaine,United States,01-01-2021,2014,TV-MA,87 min,Comedies
841,s1452,Movie,Full Out 2: You Got This!,Jeff Deverett,United States,01-01-2021,2020,TV-Y,91 min,"Children & Family Movies, Dramas, Sports Movies"
842,s1453,Movie,Gimme Shelter,Ron Krauss,United States,01-01-2021,2013,PG-13,101 min,"Dramas, Independent Movies"
846,s1459,Movie,London Heist,Mark McQueen,United Kingdom,01-01-2021,2017,R,96 min,Action & Adventure
847,s1460,Movie,Mean Girls 2,Melanie Mayron,United States,01-01-2021,2011,PG-13,98 min,Comedies
849,s1464,TV Show,The Cat in the Hat Knows a Lot About That!,Tony Collingwood,Canada,01-01-2021,2014,TV-Y,1 Season,Kids' TV
850,s1465,Movie,The Creative Brain,"Jennifer Beamish, Toby Trackman",United States,01-01-2021,2019,TV-14,53 min,Documentaries
851,s1468,Movie,Unknown,Jaume Collet-Serra,United Kingdom,01-01-2021,2011,PG-13,113 min,"Action & Adventure, Thrillers"
852,s1469,Movie,What Happened to Mr. Cha?,Kim Dong-kyu,South Korea,01-01-2021,2021,TV-MA,102 min,"Comedies, International Movies"
854,s1471,Movie,Alaska Is a Drag,Shaz Bennett,United States,12/31/2020,2017,TV-MA,83 min,"Dramas, LGBTQ Movies"
855,s1473,Movie,Bobby Jasoos,Samar Shaikh,India,12/31/2020,2014,TV-14,116 min,"Comedies, Dramas, International Movies"
856,s1475,Movie,Tarung Sarung,Archie Hekagery,Indonesia,12/31/2020,2020,TV-PG,116 min,"Action & Adventure, Dramas, Faith & Spirituality"
857,s1476,Movie,Too Handsome to Handle,Sabrina Rochelle Kalangie,Indonesia,12/31/2020,2019,TV-14,106 min,"Comedies, Dramas, International Movies"
858,s1480,TV Show,SanPa: Sins of the Savior,Cosima Spender,Italy,12/30/2020,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
859,s1482,Movie,The Rope Curse 2,Liao Shih-han,Taiwan,12/30/2020,2020,TV-MA,105 min,"Horror Movies, International Movies"
860,s1485,Movie,Cops and Robbers,"Arnon Manor, Timothy Ware-Hill",United States,12/28/2020,2020,PG-13,8 min,Dramas
861,s1486,Movie,Rango,Gore Verbinski,United States,12/28/2020,2011,PG,110 min,"Children & Family Movies, Comedies"
862,s1487,Movie,Death to 2020,"Al Campbell, Alice Mathias",United States,12/27/2020,2020,TV-MA,71 min,Comedies
863,s1489,Movie,DNA,Maïwenn,France,12/26/2020,2020,TV-MA,91 min,"Dramas, International Movies"
864,s1491,Movie,The Magic School Bus Rides Again In the Zone,Richard Weston,Canada,12/26/2020,2020,TV-Y,46 min,Children & Family Movies
865,s1492,Movie,AK vs AK,Vikramaditya Motwane,India,12/25/2020,2020,TV-MA,109 min,"Comedies, Dramas, International Movies"
866,s1494,Movie,Isa Pa with Feelings,Prime Cruz,Philippines,12/25/2020,2019,TV-G,102 min,"International Movies, Romantic Movies"
867,s1495,Movie,We Can Be Heroes,Robert Rodriguez,United States,12/25/2020,2020,PG,101 min,"Children & Family Movies, Comedies"
868,s1496,Movie,Bridezilla,Andibachtiar Yusuf,Indonesia,12/24/2020,2019,TV-MA,94 min,"Comedies, Dramas, International Movies"
869,s1497,Movie,Cemara's Family,Yandy Laurens,Indonesia,12/24/2020,2018,TV-G,110 min,"Children & Family Movies, Dramas, International Movies"
870,s1498,Movie,"Hello, Love, Goodbye",Cathy Garcia-Molina,Philippines,12/24/2020,2019,TV-14,117 min,"Dramas, International Movies, Romantic Movies"
871,s1499,Movie,The History of Future Folk,"John Mitchell, Jeremy Kipp Walker",United States,12/23/2020,2012,TV-14,85 min,"Action & Adventure, Comedies, Independent Movies"
872,s1500,Movie,The Midnight Sky,George Clooney,United States,12/23/2020,2020,PG-13,119 min,Dramas
873,s1501,Movie,Your Name Engraved Herein,Liu Kuang-hui,Taiwan,12/23/2020,2020,TV-MA,115 min,"Dramas, International Movies, LGBTQ Movies"
874,s1502,Movie,After We Collided,Roger Kumble,United States,12/22/2020,2020,R,105 min,"Dramas, Romantic Movies"
875,s1503,Movie,London Hughes: To Catch a D*ck,Kristian Mercado,United States,12/22/2020,2020,TV-MA,68 min,Stand-Up Comedy
876,s1505,Movie,QLIMAX THE SOURCE,"Daan Jansen, Stijn Verlinde",Netherlands,12/22/2020,2020,TV-14,57 min,Music & Musicals
877,s1508,Movie,Shaun the Sheep: The Farmer’s Llamas,Jay Grace,United Kingdom,12/22/2020,2020,TV-Y,28 min,"Children & Family Movies, Comedies"
878,s1510,Movie,"Ariana grande: excuse me, i love you",Paul Dugdale,United States,12/21/2020,2020,TV-MA,98 min,"Documentaries, Music & Musicals"
879,s1511,Movie,The Con Is On,James Haslam,United States,12/21/2020,2018,R,95 min,Comedies
880,s1512,Movie,Mohamed Hussein,Muhammad Ali,Egypt,12/20/2020,2019,TV-14,96 min,"Comedies, International Movies"
881,s1513,Movie,Rhys Nicholson Live at the Athenaeum,Thomas Toby Parkinson,United Kingdom,12/20/2020,2020,TV-MA,66 min,Stand-Up Comedy
882,s1514,Movie,Atlas Shrugged: Part II,John Putch,United States,12/19/2020,2012,PG-13,112 min,Dramas
883,s1516,Movie,Guest House,Sam Macaroni,United States,12/18/2020,2020,R,84 min,Comedies
884,s1518,Movie,Ma Rainey's Black Bottom,George C. Wolfe,United States,12/18/2020,2020,R,94 min,"Dramas, Music & Musicals"
886,s1521,TV Show,Paava Kadhaigal,"Sudha Kongara, Vignesh Shivan, Gautham Vasudev Menon, Vetri Maaran",India,12/18/2020,2020,TV-MA,1 Season,"International TV Shows, TV Dramas"
889,s1524,Movie,An Unremarkable Christmas,Juan Camilo Pinzon,Colombia,12/17/2020,2020,TV-14,83 min,"Comedies, Dramas, International Movies"
890,s1525,Movie,Braven,Lin Oeding,Canada,12/17/2020,2018,R,94 min,Action & Adventure
891,s1526,Movie,Eggnoid: Love & Time Portal,Naya Anindita,Indonesia,12/17/2020,2019,TV-14,102 min,"Dramas, International Movies, Romantic Movies"
892,s1527,Movie,Love You to the Stars and Back,Antoinette Jadaone,Philippines,12/17/2020,2017,TV-14,111 min,"Comedies, International Movies, Romantic Movies"
893,s1530,Movie,Sakaling Maging Tayo,JP Habac,Philippines,12/17/2020,2019,TV-14,90 min,"International Movies, Romantic Movies"
894,s1531,TV Show,Schulz Saves America,Alexx Media,United States,12/17/2020,2020,TV-MA,1 Season,"Stand-Up Comedy & Talk Shows, TV Comedies"
895,s1533,TV Show,Anitta: Made In Honório,"Andrucha Waddington, Pedro Waddington",Brazil,12/16/2020,2020,TV-MA,1 Season,"Docuseries, International TV Shows"
896,s1535,Movie,Bwakaw,Jun Lana,Philippines,12/16/2020,2012,TV-MA,110 min,"Dramas, International Movies, LGBTQ Movies"
897,s1537,Movie,Incarnate,Brad Peyton,United States,12/16/2020,2016,PG-13,87 min,"Horror Movies, Thrillers"
898,s1538,Movie,Lee Daniels' The Butler,Lee Daniels,United States,12/16/2020,2013,PG-13,132 min,Dramas
899,s1541,Movie,Nocturnal Animals,Tom Ford,United States,12/16/2020,2016,R,117 min,"Dramas, Thrillers"
900,s1542,TV Show,The Ripper,"Ellena Wood, Jesse Vile",United Kingdom,12/16/2020,2020,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries"
901,s1543,Movie,Vir Das: Outside In - The Lockdown Special,Vir Das,India,12/16/2020,2020,TV-MA,50 min,Stand-Up Comedy
902,s1545,Movie,Grizzlies,Miranda de Pencier,Canada,12/15/2020,2018,R,106 min,"Dramas, Independent Movies, Sports Movies"
903,s1550,Movie,The Professor and the Madman,Farhad Safinia,Ireland,12/15/2020,2019,TV-14,125 min,"Dramas, Independent Movies"
904,s1551,Movie,A California Christmas,Shaun Paul Piccinino,United States,12/14/2020,2020,PG-13,107 min,"Comedies, Romantic Movies"
905,s1558,Movie,Canvas,Frank E. Abney III,United States,12-11-2020,2020,G,9 min,"Children & Family Movies, Dramas"
906,s1559,Movie,Giving Voice,"James D. Stern, Fernando Villena",United States,12-11-2020,2020,PG-13,91 min,Documentaries
907,s1561,Movie,The Prom,Ryan Murphy,United States,12-11-2020,2020,PG-13,132 min,"Comedies, LGBTQ Movies, Music & Musicals"
908,s1562,Movie,Torbaaz,Girish Malik,India,12-11-2020,2020,TV-MA,133 min,"Dramas, International Movies, Sports Movies"
910,s1564,Movie,Funny Boy,Deepa Mehta,Canada,12-10-2020,2020,TV-MA,109 min,"Dramas, LGBTQ Movies"
911,s1566,Movie,Just The Way You Are,Theodore Boborol,Philippines,12-10-2020,2016,TV-G,107 min,"International Movies, Romantic Movies"
912,s1567,Movie,She's the One,Mae Czarina Cruz,Philippines,12-10-2020,2013,TV-14,111 min,"Dramas, International Movies, Romantic Movies"
913,s1568,Movie,The Panti Sisters,Jun Lana,Philippines,12-10-2020,2019,TV-MA,108 min,"Comedies, International Movies, LGBTQ Movies"
914,s1569,Movie,"Kalel, 15",Jun Lana,Philippines,12-09-2020,2019,TV-MA,105 min,"Dramas, Independent Movies, International Movies"
915,s1572,Movie,Rose Island,Sydney Sibilia,Italy,12-09-2020,2020,TV-14,119 min,"Comedies, Dramas, International Movies"
916,s1576,Movie,André & his olive tree,Josiah Ng,Singapore,12-08-2020,2020,TV-PG,104 min,"Documentaries, International Movies"
917,s1577,Movie,Bobbleheads The Movie,Kirk Wise,United States,12-08-2020,2020,PG,83 min,"Children & Family Movies, Comedies"
918,s1581,Movie,Spirit Riding Free: Ride Along Adventure,"Beth Sleven, Allan Jacobsen, Kevin Wotton",United States,12-08-2020,2020,TV-Y7,79 min,Children & Family Movies
919,s1583,Movie,Triple 9,John Hillcoat,United States,12-08-2020,2016,R,115 min,"Dramas, Thrillers"
920,s1582,Movie,Super Monsters: Santa’s Super Monster Helpers,Steve Ball,United States,12-08-2020,2020,TV-Y,24 min,Children & Family Movies
921,s1585,Movie,Ava,Tate Taylor,United States,12-07-2020,2020,R,97 min,"Action & Adventure, Dramas"
922,s1587,TV Show,Room 2806: The Accusation,Jalil Lespert,France,12-07-2020,2020,TV-MA,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
923,s1588,TV Show,Detention,"Su I-Hsuan, Chuang Shiang-an, Liu Yi",Taiwan,12-05-2020,2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Horror"
924,s1589,Movie,Mighty Express: A Mighty Christmas,Clint Butler,Canada,12-05-2020,2020,TV-Y,26 min,Children & Family Movies
925,s1592,Movie,Captain Underpants Mega Blissmas,"Erik Kling, Kevin Peaty",United States,12-04-2020,2020,TV-Y7,46 min,"Children & Family Movies, Comedies"
926,s1593,Movie,Christmas Crossfire,Detlev Buck,Germany,12-04-2020,2020,TV-MA,106 min,"Comedies, International Movies, Thrillers"
927,s1596,Movie,MANK,David Fincher,United States,12-04-2020,2020,R,133 min,"Dramas, Independent Movies"
928,s1598,Movie,You Are My Home,Amanda Raymond,United States,12-04-2020,2020,TV-PG,93 min,"Children & Family Movies, Dramas"
929,s1599,Movie,Between Maybes,Jason Paul Laxamana,Philippines,12-03-2020,2019,TV-14,108 min,"Dramas, International Movies, Romantic Movies"
930,s1600,Movie,Break,Marc Fouchard,France,12-03-2020,2018,TV-MA,96 min,"Comedies, Dramas, International Movies"
931,s1602,Movie,Just Another Christmas,Roberto Santucci,Brazil,12-03-2020,2020,TV-MA,101 min,"Comedies, International Movies"
932,s1603,Movie,Must Be... Love,Dado C. Lumibao,Philippines,12-03-2020,2013,TV-14,106 min,"Comedies, Dramas, International Movies"
933,s1605,Movie,Ari Eldjárn: Pardon My Icelandic,August Jakobsson,Iceland,12-02-2020,2020,TV-MA,54 min,Stand-Up Comedy
934,s1607,Movie,Fierce,Anna Wieczur-Bluszcz,Poland,12-02-2020,2020,TV-MA,118 min,"Comedies, Dramas, International Movies"
935,s1609,Movie,3 Days to Kill,McG,United States,12-01-2020,2014,PG-13,117 min,Action & Adventure
936,s1610,Movie,Angela's Christmas Wish,Damien O’Connor,United States,12-01-2020,2020,TV-Y,48 min,Children & Family Movies
938,s1613,Movie,Chef,Jon Favreau,United States,12-01-2020,2014,R,115 min,"Comedies, Independent Movies"
939,s1614,Movie,Effie Gray,Richard Laxton,United Kingdom,12-01-2020,2014,PG-13,109 min,"Dramas, International Movies, Romantic Movies"
941,s1618,Movie,Natalie Palamides: Nate - A One Man Show,Phil Burgers,United States,12-01-2020,2020,TV-MA,60 min,Comedies
942,s1621,Movie,Peppermint,Pierre Morel,Hong Kong,12-01-2020,2018,R,102 min,Action & Adventure
945,s1627,Movie,The Happytime Murders,Brian Henson,United States,12-01-2020,2018,R,91 min,"Action & Adventure, Comedies"
946,s1630,Movie,U-Turn,Derick Cabrido,Philippines,12-01-2020,2020,TV-MA,99 min,"Horror Movies, International Movies"
947,s1631,Movie,Finding Agnes,Marla M. Ancheta,Philippines,11/30/2020,2020,TV-PG,106 min,"Dramas, International Movies"
948,s1632,Movie,Rust Creek,Jen McGowan,United States,11/30/2020,2018,R,108 min,Thrillers
949,s1633,Movie,Spookley and the Christmas Kittens,Bernie Denk,United States,11/30/2020,2019,TV-Y,45 min,Children & Family Movies
950,s1634,Movie,The 2nd,Brian Skiba,United States,11/30/2020,2020,TV-MA,93 min,Action & Adventure
951,s1636,Movie,A Go! Go! Cory Carson Christmas,"Stanley Moore, Alex Woo",United States,11/27/2020,2020,TV-Y,22 min,Children & Family Movies
952,s1637,Movie,Dance Dreams: Hot Chocolate Nutcracker,Oliver Bokelberg,United States,11/27/2020,2020,TV-PG,81 min,"Children & Family Movies, Documentaries"
953,s1638,Movie,Don’t Listen,Ángel Gómez Hernández,Spain,11/27/2020,2020,TV-MA,98 min,"Horror Movies, International Movies"
954,s1658,Movie,Notes for My Son,Carlos Sorín,Argentina,11/24/2020,2020,TV-MA,84 min,"Dramas, International Movies"
955,s1653,Movie,Andhaghaaram,V Vignarajan,India,11/24/2020,2020,TV-14,171 min,"Horror Movies, International Movies, Thrillers"
956,s1643,Movie,The Beast,Ludovico Di Martino,Italy,11/27/2020,2020,TV-MA,100 min,"Action & Adventure, International Movies"
957,s1644,Movie,The Call,Lee Chung-hyun,South Korea,11/27/2020,2020,TV-MA,112 min,"International Movies, Thrillers"
958,s1645,Movie,Fantastica,Barry Gonzalez,Philippines,11/26/2020,2018,TV-PG,114 min,"Comedies, International Movies, LGBTQ Movies"
959,s1646,Movie,Larry the Cable Guy: Remain Seated,Brian Volk-Weiss,United States,11/26/2020,2020,TV-14,68 min,Stand-Up Comedy
960,s1647,Movie,Mosul,Matthew Michael Carnahan,United States,11/26/2020,2020,TV-MA,103 min,"Action & Adventure, Dramas, International Movies"
961,s1648,Movie,Unexpectedly Yours,Cathy Garcia-Molina,Philippines,11/26/2020,2017,TV-14,121 min,"Comedies, International Movies, Romantic Movies"
962,s1649,Movie,Ghosts of War,Eric Bress,United Kingdom,11/25/2020,2020,R,95 min,Horror Movies
963,s1651,Movie,Shawn Mendes: Live in Concert,Paul Dugdale,United Kingdom,11/25/2020,2020,TV-PG,87 min,Music & Musicals
964,s1652,Movie,The Christmas Chronicles: Part Two,Chris Columbus,Canada,11/25/2020,2020,PG,115 min,"Children & Family Movies, Comedies"
965,s1654,Movie,Andhakaaram,V Vignarajan,India,11/24/2020,2020,TV-14,171 min,"Horror Movies, International Movies, Thrillers"
966,s1655,TV Show,Before 30,BB Sasore,Nigeria,11/24/2020,2015,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
967,s1656,Movie,Dragons: Rescue Riders: Huttsgalor Holiday,"Greg Rankin, TJ Sullivan",United States,11/24/2020,2020,TV-Y,46 min,"Children & Family Movies, Comedies"
968,s1657,Movie,Hillbilly Elegy,Ron Howard,United States,11/24/2020,2020,R,117 min,Dramas
969,s1660,Movie,Hard Kill,Matt Eskandari,United States,11/23/2020,2020,R,98 min,Action & Adventure
970,s1661,Movie,Shawn Mendes: In Wonder,Grant Singer,United States,11/23/2020,2020,TV-MA,83 min,"Documentaries, Music & Musicals"
971,s1663,Movie,The Suit,Mohammad Adel,Egypt,11/23/2020,2018,TV-14,97 min,"Action & Adventure, Comedies, International Movies"
972,s1664,Movie,Dolly Parton’s Christmas on the Square,Debbie Allen,United States,11/22/2020,2020,TV-PG,99 min,"Children & Family Movies, Music & Musicals"
973,s1665,Movie,Machete Kills,Robert Rodriguez,United States,11/22/2020,2013,R,108 min,Action & Adventure
974,s1666,Movie,40 Sticks,Victor Gatonye,Kenya,11/20/2020,2019,TV-14,93 min,"International Movies, Thrillers"
975,s1667,Movie,Alien Xmas,Stephen Chiodo,United States,11/20/2020,2020,TV-Y,42 min,Children & Family Movies
976,s1670,Movie,If Anything Happens I Love You,"Will McCormack, Michael Govier",United States,11/20/2020,2020,PG,13 min,Dramas
977,s1672,Movie,The App That Stole Christmas,Monica Floyd,United States,11/20/2020,2020,TV-PG,64 min,"Children & Family Movies, Comedies"
979,s1675,Movie,Bodyguard,Siddique,India,11/19/2020,2011,TV-14,130 min,"Action & Adventure, Comedies, International Movies"
980,s1676,Movie,Break Ke Baad,Danish Aslam,India,11/19/2020,2010,TV-14,108 min,"Comedies, International Movies, Music & Musicals"
981,s1677,Movie,Hawaizaada,Vibhu Virender Puri,India,11/19/2020,2015,TV-14,129 min,"Dramas, International Movies, Romantic Movies"
982,s1678,Movie,My Amnesia Girl,Cathy Garcia-Molina,Philippines,11/19/2020,2010,TV-14,105 min,"International Movies, Romantic Movies"
983,s1679,Movie,Raman Raghav 2.0,Anurag Kashyap,India,11/19/2020,2016,TV-MA,133 min,"International Movies, Thrillers"
984,s1680,Movie,Singham,Rohit Shetty,India,11/19/2020,2011,TV-14,142 min,"Action & Adventure, Dramas, International Movies"
985,s1681,Movie,TE3N,Ribhu Dasgupta,India,11/19/2020,2016,TV-14,128 min,"Dramas, International Movies, Thrillers"
986,s1682,Movie,The Princess Switch: Switched Again,Mike Rohl,United States,11/19/2020,2020,TV-G,97 min,"Children & Family Movies, Comedies, Dramas"
987,s1683,Movie,Three Words to Forever,Cathy Garcia-Molina,Philippines,11/19/2020,2018,TV-G,107 min,"Comedies, Dramas, International Movies"
989,s1686,Movie,Ainu Mosir,Takeshi Fukunaga,United States,11/17/2020,2020,TV-PG,84 min,"Dramas, International Movies"
990,s1687,Movie,Kevin Hart: Zero F**ks Given,Leslie Small,United States,11/17/2020,2020,TV-MA,70 min,Stand-Up Comedy
991,s1690,Movie,Loving,Jeff Nichols,United Kingdom,11/16/2020,2016,PG-13,124 min,"Dramas, Romantic Movies"
992,s1691,Movie,Whose Streets?,"Sabaah Folayan, Damon Davis",United States,11/16/2020,2017,R,102 min,Documentaries
993,s1692,Movie,A Very Country Christmas,Justin G. Dyck,United States,11/15/2020,2017,TV-G,84 min,"Music & Musicals, Romantic Movies"
994,s1695,Movie,Cloudy with a Chance of Meatballs 2,"Cody Cameron, Kris Pearn",United States,11/15/2020,2013,PG,95 min,"Children & Family Movies, Comedies"
995,s1696,Movie,Hometown Holiday,Justin G. Dyck,Canada,11/15/2020,2018,TV-G,84 min,Romantic Movies
996,s1716,TV Show,A Queen Is Born,Carla Barros,Brazil,11-11-2020,2020,TV-14,1 Season,"International TV Shows, Reality TV"
998,s1701,Movie,Killer Cove,Damián Romay,United States,11/14/2020,2019,TV-14,87 min,Thrillers
999,s1703,Movie,Fukrey Boyzzz: Space Mein Fukrapanti,Avinash Walzade,India,11/13/2020,2020,TV-Y7,75 min,"Children & Family Movies, Comedies"
1000,s1704,Movie,Jingle Jangle: A Christmas Journey,David E. Talbert,United States,11/13/2020,2020,PG,124 min,"Children & Family Movies, Music & Musicals"
1001,s1705,Movie,The Beginning of Life 2: Outside,Renata Terra,Brazil,11/13/2020,2020,TV-PG,92 min,"Documentaries, International Movies"
1002,s1706,Movie,The Life Ahead,Edoardo Ponti,Italy,11/13/2020,2020,PG-13,95 min,"Dramas, International Movies"
1003,s1707,TV Show,The Minions of Midas,Mateo Gil,Spain,11/13/2020,2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
1005,s1710,Movie,First Love,Paul Soriano,Philippines,11-12-2020,2018,TV-MA,123 min,"Dramas, International Movies, Romantic Movies"
1006,s1711,Movie,Fruitvale Station,Ryan Coogler,United States,11-12-2020,2013,R,85 min,"Dramas, Independent Movies"
1007,s1713,Movie,Ludo,Anurag Basu,India,11-12-2020,2020,TV-MA,150 min,"Comedies, Dramas, International Movies"
1008,s1714,Movie,Memories of a Teenager,Lucas Santa Ana,Argentina,11-12-2020,2019,TV-MA,97 min,"Dramas, International Movies, LGBTQ Movies"
1010,s1721,Movie,What We Wanted,Ulrike Kofler,Austria,11-11-2020,2020,TV-MA,93 min,"Dramas, International Movies"
1012,s1726,Movie,Citation,Kunle Afolayan,Nigeria,11-06-2020,2020,TV-MA,151 min,"Dramas, International Movies"
1013,s1728,Movie,Girl's Revenge,Weica Wang,Taiwan,11-06-2020,2020,TV-MA,82 min,"Dramas, International Movies"
1014,s1729,Movie,The Endless Trench,"Aitor Arregi, Jon Garaño, Jose Mari Goenaga",Spain,11-06-2020,2019,TV-MA,148 min,"Dramas, Independent Movies, International Movies"
1015,s1730,Movie,The Late Bloomer,Kevin Pollak,United States,11-06-2020,2016,R,95 min,Comedies
1016,s1732,Movie,A New York Christmas Wedding,Otoja Abit,United States,11-05-2020,2020,TV-MA,90 min,"Dramas, LGBTQ Movies, Romantic Movies"
1017,s1733,Movie,Alone/Together,Antoinette Jadaone,Philippines,11-05-2020,2019,TV-14,103 min,"Dramas, International Movies, Romantic Movies"
1018,s1734,TV Show,Carmel: Who Killed Maria Marta?,Alejandro Hartmann,Argentina,11-05-2020,2020,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows"
1019,s1735,Movie,Midnight at the Magnolia,Maxwell McGuire,Canada,11-05-2020,2020,TV-G,87 min,"Comedies, Romantic Movies"
1020,s1736,Movie,One More Try,Ruel S. Bayani,Philippines,11-05-2020,2012,TV-14,102 min,"Dramas, International Movies, Romantic Movies"
1021,s1737,Movie,Operation Christmas Drop,Martin Wood,United States,11-05-2020,2020,TV-G,96 min,"Children & Family Movies, Comedies, Romantic Movies"
1022,s1745,Movie,The Beginning of Life,Estela Renner,Brazil,11-03-2020,2016,TV-PG,96 min,"Documentaries, International Movies"
1023,s1740,Movie,Christmas with a Prince,Justin G. Dyck,Canada,11-04-2020,2018,TV-PG,86 min,"Comedies, Dramas, Romantic Movies"
1024,s1742,Movie,Miss India,Narendra Nath,India,11-04-2020,2020,TV-PG,136 min,"Dramas, International Movies"
1025,s1743,Movie,Felix Lobrecht: Hype,Jan-Peter Horns,Germany,11-03-2020,2020,TV-MA,60 min,Stand-Up Comedy
1026,s1744,Movie,MOTHER,Tatsushi Omori,Japan,11-03-2020,2020,TV-14,127 min,"Dramas, International Movies"
1027,s1748,Movie,Prospect,"Zeek Earl, Christopher Caldwell",Canada,11-02-2020,2018,R,100 min,"Sci-Fi & Fantasy, Thrillers"
